,warna-insang,jarak-insang,memiliki-cincin,perlekatan-insang,jenis-cincin,warna-cetakan-spora,habitat,permukaan-tudung,akar-batang,memar-atau-getah,jenis-selaput,warna-selaput,warna-batang,musim,warna-tudung,permukaan-batang,bentuk-tudung,lebar-batang-log,diameter-tudung-log,tinggi-batang-log,luas-batang-log,rasio-tudung-batang,kerampingan-batang,aproksimasi-volume-tudung,musim-habitat,tekstur-warna-tudung,perlekatan-warna-insang,kunci-determinasi,cincin,warna-tudung-insang,spora_habitat,kategori-diameter,intensitas-tudung,intensitas-batang,intensitas-insang,intensitas-spora,jumlah-gelap-kunci,is_spora_5,True_Label,Predicted_Label,Error_Type
46215,8,0,2,6,6,5,0,8,-1,-1,-1,6,2,2,2,1,1,13.279362852700588,13.28985349007039,13.623316213190625,180.90895925203725,0.9755225751627246,1.0259012678849138,1889.7880787883414,15,23,59,36,18,28,14,0,0,0,1,1,2,1,1,0,False_Negative
27940,7,-1,2,4,7,5,1,0,-1,-1,-1,-1,2,2,7,-1,2,13.564209632449348,12.970350663830944,12.55924912196167,170.3562879164435,1.0327328891356662,0.925910800287668,1659.422567098045,16,61,43,36,19,86,15,0,0,0,2,1,2,1,1,0,False_Negative
47968,5,-1,2,6,7,5,4,-1,-1,-1,-1,-1,9,4,6,6,7,2.7447035187502458,1.7509374747078,2.0554049638515948,5.641477236740194,0.8518694143646173,0.7488620176817752,4.949126540917058,35,-1,38,36,19,62,18,2,2,1,2,1,0,1,1,0,False_Negative
28740,8,3,2,7,7,5,1,8,3,-1,-1,-1,6,1,6,6,7,2.4965057856313524,1.673351238177753,1.7845957074717105,4.455253508716002,0.9376635242975642,0.7148371147008103,3.924677216674761,7,51,60,37,19,65,15,2,2,2,1,1,0,1,1,0,False_Negative
47124,1,1,2,2,6,5,4,10,-1,-1,-1,-1,9,1,2,-1,2,1.7522314880066894,1.3787660946990992,1.7369512327330598,3.043540643126903,0.793784692932884,0.9912789795998971,2.593335450361173,10,25,10,36,18,21,18,1,0,1,0,1,2,1,1,0,False_Negative
12069,10,2,1,3,6,5,1,-1,-1,-1,-1,-1,11,2,6,6,7,1.5107219394949425,1.6114359150967734,1.8186797664032164,2.747519424020876,0.8860466030460593,1.2038473229321776,3.709131187772244,16,-1,69,30,15,67,15,1,2,3,3,1,0,1,1,0,False_Negative
41426,1,-1,1,6,7,5,1,-1,-1,0,-1,-1,9,1,2,-1,2,1.3595808464328325,1.4981177905968674,1.528227857008557,2.0777493233739275,0.9802967557682227,1.124042558392645,2.6938283310438944,7,-1,15,30,16,21,15,1,0,1,0,1,2,1,1,0,False_Negative
9151,7,-1,2,4,7,5,8,0,-1,-1,-1,-1,2,1,7,-1,3,13.067001036717732,12.998715439280819,12.36387035257584,161.55870671495214,1.0513467075644327,0.9461902828080901,1640.7605174754733,14,61,43,36,19,86,22,0,0,0,2,1,2,1,1,0,False_Negative
15856,10,2,2,5,7,5,4,8,-1,-1,-1,6,9,1,5,-1,3,3.211382734875037,2.4714836294558595,1.997107503416424,6.413476556160893,1.2375309730182056,0.6218837947418752,9.58091089263046,10,42,71,36,19,56,18,0,3,1,3,1,0,1,1,0,False_Negative
39854,10,1,1,-1,7,5,1,-1,-1,-1,-1,6,9,0,9,6,2,2.866787944247472,1.2864740258376797,1.9344157696295783,5.545559807536271,0.6650449096778802,0.6747674165240509,2.5144427370573617,1,-1,72,30,16,101,15,1,1,1,3,1,0,1,1,0,False_Negative
37951,7,0,2,5,7,5,8,4,-1,-1,-1,-1,2,2,2,1,1,1.244154593958768,0.9122827104766162,1.3837912309017721,1.721650217006298,0.6592627781138152,1.1122332589436816,0.9045224365776141,23,19,44,36,19,27,22,1,0,0,2,1,2,1,1,0,False_Negative
48491,1,2,1,6,4,5,4,7,3,-1,-1,-1,9,2,2,3,-1,2.8057846522412966,2.0268315914075385,2.080690761080268,5.837970203499278,0.9741142966583547,0.7415715307469001,6.713248907241007,19,22,15,31,13,21,18,2,0,1,0,1,2,1,1,0,False_Negative
15824,7,2,2,5,7,5,1,-1,-1,-1,-1,-1,2,2,2,-1,1,2.0095554142156695,1.7439688053917064,1.728109442151599,3.472731685832966,1.0091767070282631,0.859945722313091,4.127989170310657,16,-1,44,36,19,27,15,2,0,0,2,1,2,1,1,0,False_Negative
43745,0,-1,2,-1,7,5,1,0,-1,0,-1,-1,11,3,11,-1,0,13.544676621876512,11.74328094767658,13.776717150302996,186.6011787119142,0.8524004642875201,1.0171314175873563,1492.1570171295236,25,92,6,36,19,114,15,0,3,3,3,1,0,1,1,0,False_Negative
