,warna-insang,jarak-insang,memiliki-cincin,perlekatan-insang,jenis-cincin,warna-cetakan-spora,habitat,permukaan-tudung,akar-batang,memar-atau-getah,jenis-selaput,warna-selaput,warna-batang,musim,warna-tudung,permukaan-batang,bentuk-tudung,lebar-batang-log,diameter-tudung-log,tinggi-batang-log,luas-batang-log,rasio-tudung-batang,kerampingan-batang,aproksimasi-volume-tudung,musim-habitat,tekstur-warna-tudung,perlekatan-warna-insang,kunci-determinasi,cincin,warna-tudung-insang,spora_habitat,kategori-diameter,intensitas-tudung,intensitas-batang,intensitas-insang,intensitas-spora,jumlah-gelap-kunci,is_spora_5,True_Label,Predicted_Label,Error_Type
48212,8,-1,2,4,7,5,1,-1,-1,-1,0,-1,2,1,0,3,7,2.1958137907515765,1.8317816314679323,1.7934247485471162,3.938026795534936,1.0213869366779689,0.8167468204061366,4.726290799246069,7,-1,56,36,19,7,15,2,3,0,1,1,1,1,0,1,False_Positive
31564,8,2,1,6,6,5,1,-1,-1,-1,-1,6,11,1,3,-1,3,2.749323852158409,1.7516884465020088,2.0412203288596382,5.6119757376444355,0.858157036542734,0.7424442139884415,4.919188868961787,7,-1,59,30,15,38,15,2,3,3,1,1,0,1,0,1,False_Positive
28622,7,-1,2,6,6,5,1,0,-1,-1,-1,-1,4,3,9,5,7,13.230129046360691,13.552241969719267,13.490510622125065,178.48119643201426,1.0045758344326217,1.0196808780300688,1945.9898199244458,25,71,46,36,18,98,15,0,1,0,2,1,1,1,0,1,False_Positive
37642,1,1,2,1,7,5,1,6,-1,-1,-1,6,9,4,2,2,7,2.335123924476891,2.2669579153508947,1.9430489167742813,4.537260011988532,1.1667008118424171,0.8320963458559111,7.842608417647697,32,21,9,36,19,21,15,0,0,1,0,1,2,1,0,1,False_Positive
37607,0,1,2,6,7,5,1,7,-1,-1,-1,-1,9,2,9,6,7,2.631888840136646,2.2353763433005955,1.724550719534605,4.53882579299275,1.296207192848843,0.6552518624582963,6.768106034074013,16,78,7,36,19,91,15,0,1,1,3,1,0,1,0,1,False_Positive
9685,0,1,1,0,7,5,4,5,-1,-1,-1,-1,9,4,4,6,6,3.105876277428132,1.8164520818184267,2.136530508663963,6.635799422860862,0.8501873594901057,0.6878992045793738,5.536647462067817,35,36,0,30,16,43,18,2,0,1,3,1,1,1,0,1,False_Positive
14387,10,-1,2,6,7,5,4,6,3,-1,-1,6,2,4,2,0,3,2.2762411176544437,2.214846178686039,2.834976494674597,6.453090064762182,0.7812570585997763,1.2454635087746735,10.922611415591913,35,21,73,37,19,30,18,0,0,0,3,1,2,1,0,1,False_Positive
1762,1,2,2,3,7,5,1,-1,-1,-1,-1,-1,11,1,3,-1,3,11.99920768851313,9.968442549435627,13.425037524977714,161.08981348828985,0.742526178296548,1.118826905463319,1047.7556469886824,7,-1,11,36,19,34,15,0,3,3,0,1,1,1,0,1,False_Positive
3777,10,-1,1,0,2,5,1,-1,-1,-1,0,6,11,1,9,-1,2,2.8992213731731473,2.6511270537025893,2.2282490162314783,6.4601871726103415,1.1897798875308887,0.76856781902959,12.300271225543762,7,-1,66,30,11,101,15,0,1,3,3,1,0,1,0,1,False_Positive
32,10,1,2,5,7,5,1,7,-1,-1,-1,6,0,1,0,4,1,2.6210388241125804,2.179286876649552,2.1890994573231994,5.737714667487887,0.9955170715711934,0.8352026692552733,8.165526298811754,7,6,71,36,19,8,15,0,3,3,3,1,0,1,0,1,False_Positive
34513,10,-1,2,4,6,5,4,8,-1,-1,-1,-1,6,2,9,6,3,2.138889000323256,1.5748464676644813,1.902143983606263,4.068474843566496,0.8279318775579038,0.8893136081419741,3.705183408543992,19,79,70,36,18,101,18,1,1,2,3,1,0,1,0,1,False_Positive
