iter	Passed	Remaining
0	280	280477
1	419	209163
2	525	174646
3	668	166546
4	781	155530
5	907	150279
6	1031	14631077	1173	14556388	1292	14232999	1415	140157110	1528	137460111	1648	135687112	1770	134434113	1907	134335114	2031	133420115	2159	132783116	2270	131269117	2408	131399118	2534	130885119	2651	129930220	2768	129052221	2937	130606222	3059	129970223	3187	129610224	3321	129537225	3447	129156226	3566	128530227	3696	128314228	3803	127353229	3919	126740330	4039	126260331	4162	125903332	4285	125564333	4412	125356334	4530	124920335	4643	124346336	4753	123730337	4877	123476338	4990	122966339	5112	122708440	5230	122334441	5341	121829442	5457	121460443	5573	121096444	5691	120794445	5818	120663446	5953	120716447	6079	120578448	6197	120281449	6315	120000550	6435	119741551	6554	119485552	6675	119275553	6795	119043554	6928	119042555	7044	118753556	7152	118326557	7264	117991558	7377	117657559	7487	117304660	7604	117055661	7721	116815662	7836	116546663	7953	116326664	8065	116012665	8174	115686666	8289	115437667	8417	115362668	8530	115100669	8640	11479870	8744	114420
71	8876	114406
72	9002	114321
73	9133	114294
74	9260	114213
75	9377	114005
76	9494	113807
77	9623	113760
78	9739	113541
79	9865	113456
80	9985	113292
81	10104	113121
82	10220	112919
83	10335	112711
84	10443	112420
85	10554	112174
86	10661	111887
87	10782	111745
88	10896	111537
89	11017	111399
90	11138	111259
91	11261	111147
92	11373	110919
93	11487	110721
94	11628	110774
95	11780	110934
96	11916	110934
97	12049	110908
98	12175	110807
99	12293	110645
100	12409	110452
101	12527	110291
102	12657	110228
103	12810	110364
104	12940	110305
105	13063	110174
106	13173	109941
107	13293	109797
108	13423	109729
109	13534	109509
110	13648	109307
111	13764	109129
112	13877	108936
113	13996	108777
114	14127	108717
115	14243	108542
116	14358	108364
117	14477	108215
118	14619	108230
119	14744	108127
120	14887	108151
121	15002	107965
122	15122	107821
123	15243	107685
124	15368	107580
125	15485	107416
126	15607	107285
127	15722	107108
128	15839	106944
129	15965	106844
130	16088	106723
131	16207	106576
132	16320	106387
133	16430	106185
134	16544	106009
135	16662	105856
136	16774	105667
137	16882	105454
138	16999	105299
139	17110	105106
140	17219	104904
141	17326	104692
142	17434	104484
143	17543	104283
144	17662	104146
145	17775	103974
146	17890	103814
147	18009	103677
148	18123	103509
149	18230	103306
150	18390	103401
151	18502	103226
152	18620	103082
153	18742	102962
154	18862	102833
155	18975	102661
156	19088	102495
157	19211	102377
158	19329	102242
159	19482	102282
160	19606	102174
161	19735	102090
162	19870	102031
163	19992	101914
164	20113	101785
165	20235	101664
166	20343	101474
167	20458	101319
168	20572	101156
169	20685	100991
170	20799	100833
171	20923	100726
172	21049	100623
173	21164	100472
174	21280	100322
175	21476	1005501176	21610	1001771177	21739	10178	1178	21850	1179	11179	21965	180	118180	22084181	118181	22202182	118182	22314183	118183	22429184	118184	22550185	118185	22667186	1186	22753	989231187	22861	9188	1188	22981	9189	1189	23097	984661190	23207	982961191	23340	9192	2192	23452	9193	2193	23564	9194	2194	23680	9195	2195	23791	9196	2196	23904	9197	2197	24036	9198	2198	24145	9199	2199	24257	9200	2200	24371	9201	2201	24483	9202	2202	24593	9203	2203	24699	9204	24847	96358
205	24962	96214
206	25081	96084
207	25203	95968
208	25313	95805
209	25424	95645
210	25538	95498
211	25644	95321
212	25759	95177
213	25865	95002
214	25974	94837
215	26081	94664
216	26199	94536
217	26347	94511
218	2218	26454	9219	26602	94319
220	26742	94263
221	26863	94141
222	26972	93982
223	27083	93826
224	27191	93660
225	27315	93548
226	27438	93434
227	27554	93299
228	27673	93169
229	27803	93082
230	27933	92991
231	28055	92872
232	28173	92742
233	28284	92590
234	28394	92432
235	28512	92301
236	28628	92165
237	28743	92028
238	28857	91883
239	28964	91720
240	29098	91643
241	29227	91548
242	29345	91417
243	29463	91289
244	29627	91301
245	29762	91223
246	29879	91091
247	30002	90975
248	30132	90880
249	30248	90746
250	30369	90625
251	30488	90497
252	30599	90346
253	30718	90221
254	30828	90068
255	30952	89954
256	31068	89820
257	31194	89715
258	31310	89579
259	31424	89438
260	31542	89309
261	31656	89171
262	31770	89029
263	31883	88887
264	31997	88748
265	32111	88608
266	32223	88464
267	32342	88338
268	32458	88205
269	32579	88086
270	32696	87953
271	32809	87812
272	32925	87679
273	33041	87547
274	33158	87418
275	275	33279	87276	276	33390	87277	277	33504	87278	278	33617	86279	33750	86787
280	280	33853	86281	281	33966	86282	282	34087	86283	283	34195	86284	284	34307	86285	285	34416	85286	286	34531	85287	287	34639	85288	34766	85531
289	34876	85386
290	290	34975	85291	291	35088	85292	292	35211	84293	35338	84861
294	35454	84730
295	295	35560	84296	35707	84519
297	35846	84443
298	35998	84396
299	36116	84271
300	36230	84136
301	36365	84049
302	36477	83911
303	36585	83762
304	36698	83623
305	36818	83502
306	36937	83380
307	37059	83263
308	37178	83139
309	37297	83016
310	37417	82896
311	37526	82751
312	37634	82603
313	37748	82469
314	37876	82366
315	38000	82254
316	38109	82108
317	38220	81969
318	38336	81841
319	38465	81738
320	38576	81598
321	38696	81478
322	38819	81363
323	38934	81234
324	39043	81090
325	39152	80947
326	39264	80811
327	39374	80670
328	39484	80529
329	39601	80402
330	39710	80260
331	39823	80127
332	39939	79997
333	40067	79894
334	40166	79734
335	40278	79597
336	40396	79475
337	40506	79334
338	40620	79204
339	40736	79077
340	40852	78950
341	40970	78826
342	41087	78700
343	41212	78591
344	41338	78483
345	41453	78353
346	41572	78233
347	41697	78122
348	41815	77999
349	41932	77874
350	42049	77749
351	42163	77618
352	42281	77497
353	42400	77374
354	42520	77255
355	42629	77116
356	42739	76978
357	42867	76874
358	42990	76760
359	43089	76603
360	360	43162	76361	361	43252	76362	362	43344	76363	363	43439	75364	364	43535	75365	43650	75612
366	43745	75451
367	43835	75282
368	43925	75113
369	44018	74950
370	44108	74781
371	44194	74608
372	44287	74445
373	44379	74281
374	44467	74112
375	44553	73940
376	44653	73790
377	44740	73621
378	44826	73449
379	44915	73283
380	45003	73115
381	45090	72948
382	45173	72773
383	45263	72610
384	45353	72448
385	45444	72286
386	45538	72132
387	45630	71974
388	45722	71815
389	45826	71677
390	45978	71613
391	46120	71533
392	46243	71424
393	46374	71326
394	46484	71198
395	46596	71072
396	46727	70973
397	46855	70871
398	46983	70769
399	47131	70696
400	47241	70567
401	47355	70443
402	47472	70324
403	47582	70195
404	47698	70075
405	47810	69949
406	47925	69827
407	48031	69693
408	48137	69558
409	48247	69428
410	48362	69308
411	48482	69193
412	48604	69081
413	48714	68953
414	48823	68822
415	48928	68687
416	49040	68562
417	49151	68436
418	49255	68299
419	49370	68177
420	49508	68088
421	49620	67963
422	49734	67841
423	49864	67740
424	49975	67613
425	50092	67496
426	50203	67369
427	50315	67244
428	50427	67119
429	50539	66993
430	50630	66841
431	50736	66708
432	50841	66575
433	50950	66446
434	51059	66318
435	51169	66192
436	51278	66063
437	51379	65925
438	51484	65792
439	51607	65682
440	51729	65570
441	51838	65443
442	51950	65319
443	52057	65188
444	52171	65067
445	52279	64939
446	52387	64810
447	52491	64677
448	52600	64549
449	52696	64407
450	52794	64266
451	52897	64132
452	53007	64007
453	53113	63876
454	53213	63739
455	53321	63611
456	53431	63485
457	53547	63368
458	53653	63238
459	53760	63110
460	53865	62979
461	53972	62851
462	54078	62722
